data,produto,categoria,quantidade,preco_unitario
2025-01-10,Notebook X200,Eletrônicos,3,3500
2025-01-10,Mouse M120,Periféricos,12,45
2025-01-11,Teclado T500,Periféricos,7,120
2025-01-11,Cadeira Gamer Y,Moveis,2,1100
2025-01-12,Monitor 27P,Eletrônicos,4,1450
2025-01-12,Mouse M120,Periféricos,9,45
2025-01-12,Mesa Escritório Z,Moveis,1,850
2025-01-13,Notebook X200,Eletrônicos,2,3500
2025-01-13,Cadeira Gamer Y,Moveis,1,1100
2025-01-14,Mouse M120,Periféricos,15,45
2025-01-14,Monitor 27P,Eletrônicos,3,1450
2025-01-15,Teclado T500,Periféricos,10,120
2025-01-15,Mesa Escritório Z,Moveis,3,850
2025-01-15,Notebook X200,Eletrônicos,1,3500
2025-01-16,Monitor 27P,Eletrônicos,6,1450
2025-01-16,Teclado T500,Periféricos,5,120
2025-01-16,Mouse M120,Periféricos,8,45
